level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	7	1	1	10	603	304	39	22	96.040482	Swap
5	1	8	1	1	1	55	335	18	7	34.304752	lek
5	1	8	1	1	2	77	335	46	7	52.293213	Disclosure
5	1	8	1	1	3	126	335	48	7	92.564957	Statements
5	1	8	1	2	1	55	346	17	7	73.973351	This
5	1	8	1	2	2	76	346	6	7	72.709259	Is
5	1	8	1	2	3	86	347	10	6	81.049828	an
5	1	8	1	2	4	100	346	52	9	17.087059	ofF-xchango
5	1	8	1	2	5	157	346	38	7	43.362358	darvative
5	1	8	1	2	6	200	346	30	8	57.052643	produc.
5	1	8	1	2	7	236	346	10	7	57.052643	As
5	1	8	1	2	8	251	346	18	7	68.072906	such,
5	1	8	1	2	9	276	348	14	7	68.072906	you
5	1	8	1	2	10	295	348	16	7	84.378059	may
5	1	8	1	2	11	316	346	14	7	62.680676	i
5	1	8	1	2	12	334	346	4	7	75.941093	0
5	1	8	1	2	13	343	346	28	7	32.404152	01000
5	1	8	1	2	14	375	347	7	6	80.472961	to
5	1	8	1	2	15	386	346	35	7	0.0	establish
5	1	8	1	2	16	426	348	4	5	78.092079	2
5	1	8	1	2	17	435	346	12	7	61.19561	190
5	1	8	1	2	18	451	348	19	7	72.904228	0000
5	1	8	1	2	19	475	346	14	7	76.024254	and
5	1	8	1	2	20	494	346	7	7	68.748573	to
5	1	8	1	2	21	505	346	35	7	38.173199	000
5	1	8	1	2	22	545	348	17	7	95.891747	your
5	1	8	1	2	23	566	348	37	7	42.814922	exposure
5	1	8	1	2	24	607	346	7	7	42.814922	to
5	1	8	1	2	25	619	346	14	7	66.832008	Fisk.
5	1	8	1	2	26	640	346	21	8	95.006172	Upon
5	1	8	1	2	27	666	346	32	9	34.392868	entering
5	1	8	1	2	28	702	347	14	6	82.682808	1710
5	1	8	1	2	29	721	346	14	7	68.008636	this
5	1	8	1	2	30	739	347	44	6	0.0	taneacton,
5	1	8	1	2	31	790	348	14	7	96.633247	you
5	1	8	1	2	32	808	346	12	7	66.234505	wl
5	1	8	1	2	33	825	346	9	7	76.476265	be
5	1	8	1	3	1	55	356	42	9	50.420986	contnuaty
5	1	8	1	3	2	102	356	25	7	71.387756	bound
5	1	8	1	3	3	131	357	7	6	74.197517	10
5	1	8	1	3	4	143	356	12	7	76.966286	SC
5	1	8	1	3	5	160	356	24	7	76.966286	BANK
5	1	8	1	3	6	188	356	15	7	82.276085	under
5	1	8	1	3	7	209	356	19	7	73.132256	80
5	1	8	1	3	8	232	357	22	6	75.688393	tre
5	1	8	1	3	9	259	356	23	7	79.904343	ofthe
5	1	8	1	3	10	287	357	44	6	29.948149	wansacton,
5	1	8	1	3	11	338	356	27	7	61.770569	40065
5	1	8	1	3	12	370	356	38	7	15.767994	ofterwise
5	1	8	1	3	13	413	356	38	9	43.290115	exressy
5	1	8	1	3	14	455	356	24	7	23.786217	saad
5	1	8	1	3	15	484	356	23	7	65.541252	inthe
5	1	8	1	3	16	512	357	22	6	59.464134	terms
5	1	8	1	3	17	538	356	8	7	79.887726	of
5	1	8	1	3	18	550	357	12	6	79.887726	the
5	1	8	1	3	19	566	357	49	6	24.992762	rersacions,
5	1	8	1	3	20	622	356	14	7	58.583981	this
5	1	8	1	3	21	640	356	44	7	35.32793	ansacion
5	1	8	1	3	22	690	358	16	7	73.02401	may
5	1	8	1	3	23	711	357	12	6	74.414566	not
5	1	8	1	3	24	727	356	10	7	74.414566	be
5	1	8	1	3	25	742	356	42	7	49.136753	lamnated
5	1	8	1	3	26	788	357	30	7	61.115726	prt
5	1	8	1	3	27	822	356	12	7	94.236565	the
5	1	8	1	4	1	55	367	44	7	59.608364	termination
5	1	8	1	4	2	103	367	17	7	49.513359	dai
5	1	8	1	4	3	124	367	28	7	49.513359	wou
5	1	8	1	4	4	156	367	12	7	84.12088	the
5	1	8	1	4	5	172	368	18	6	47.230297	consent
5	1	8	1	4	6	207	367	7	7	47.230297	of
5	1	8	1	4	7	218	367	11	7	79.947166	SC
5	1	8	1	4	8	233	367	24	7	91.307526	BANK
5	1	8	1	4	9	261	367	14	7	66.71814	and
5	1	8	1	4	10	279	368	20	7	66.71814	upon
5	1	8	1	4	11	302	355	22	28	53.13308	tems
5	1	8	1	4	12	328	355	27	28	54.446888	agreed
5	1	8	1	4	13	360	367	34	7	69.655334	betawen
5	1	8	1	4	14	398	355	13	28	95.663803	you
5	1	8	1	4	15	415	367	14	7	91.122589	and
5	1	8	1	4	16	433	367	12	7	33.538544	SC.
5	1	8	1	4	17	453	367	23	7	73.255859	GANK.
5	1	8	1	4	18	486	367	20	7	80.96479	Sch
5	1	8	1	4	19	510	367	22	7	49.13525	lems
5	1	8	1	4	20	535	368	17	7	77.335381	may
5	1	8	1	4	21	556	367	28	7	54.385223	00000
5	1	8	1	4	22	587	355	13	28	60.42572	the
5	1	8	1	4	23	604	355	15	28	52.44392	cost
5	1	8	1	4	24	625	355	6	28	52.44392	of
5	1	8	1	4	25	634	367	40	8	50.019569	unwinding
